Released,Model,Family,Discontinued,Future release,Source link
"March 16, 2012",Apple TV(3rd gen),Apple TV,"January 28, 2013",false,https://en.wikipedia.org/wiki/Apple_TV_(device)
"June 11, 2012",AirPort Express 802.11n(2nd gen),AirPort Express,"April 26, 2018",false,https://en.wikipedia.org/wiki/AirPort_Express
"June 11, 2012","MacBook Prowith Retina display (3rd gen) (15"") (Mid 2012)",MacBook Pro,"February 13, 2013",false,https://en.wikipedia.org/wiki/MacBook_Pro
"June 11, 2012",MacBook Air(Mid 2012),MacBook Air,"June 10, 2013",false,https://en.wikipedia.org/wiki/MacBook_Air
"June 11, 2012",MacBook Pro(Mid 2012),MacBook Pro,"October 27, 2016",false,https://en.wikipedia.org/wiki/MacBook_Pro
"September 12, 2012",iPod Touch (4th generation)(16 GB),iPod Touch,"May 30, 2013",false,https://en.wikipedia.org/wiki/IPod_Touch_(4th_generation)
"October 11, 2012",iPod Nano(7th gen),iPod Nano,"July 27, 2017",false,https://en.wikipedia.org/wiki/IPod_Nano
"October 23, 2012","MacBook Prowith Retina display (3rd gen) (13"") (Late 2012)",MacBook Pro,"February 13, 2013",false,https://en.wikipedia.org/wiki/MacBook_Pro
"November 02, 2012",iPad mini (1st gen)(Wi-Fi) (32 & 64 GB),iPad,"October 22, 2013",false,https://en.wikipedia.org/wiki/IPad_Mini_(1st_generation)
"November 02, 2012",iPad (4th gen)(Wi-Fi) (16 GB),iPad,"October 16, 2014",false,https://en.wikipedia.org/wiki/IPad_(4th_generation)
"November 02, 2012",iPad (4th gen)(Wi-Fi) (32 & 64 GB),iPad,"October 22, 2013",false,https://en.wikipedia.org/wiki/IPad_(4th_generation)
"November 16, 2012",iPad Mini(Wi-Fi + Cellular) (32 & 64 GB),iPad,"October 22, 2013",false,https://en.wikipedia.org/wiki/IPad_Mini
"November 16, 2012",iPad (4th gen)(Wi-Fi + Cellular) (16 GB),iPad,"October 16, 2014",false,https://en.wikipedia.org/wiki/IPad_(4th_generation)
"November 16, 2012",iPad (4th gen)(Wi-Fi + Cellular) (32 & 64 GB),iPad,"October 22, 2013",false,https://en.wikipedia.org/wiki/IPad_(4th_generation)
"June 10, 2013",AirPort Time Capsule802.11ac,"AirPort,drives","April 26, 2018",false,https://en.wikipedia.org/wiki/AirPort_Time_Capsule
